Date,1INCH,AAVE,ADA,ALGO,APE,ARB,ATOM,AVAX,AXS,BAT,BNB,BTC,CHZ,COMP,CRV,DOGE,DOT,ENJ,ENS,EOS,ETC,ETH,FIL,FLOW,FTM,GRT,IMX,INJ,LINK,LRC,LTC,MANA,MATIC,NEAR,OP,SAND,SEI,SNX,SOL,SUI,SUSHI,THETA,TIA,UNI,VET,XLM,XRP,XTZ,YFI,ZIL
2021-01-01,85719567.0,202515779.0,1122218004.0,341885747.0,78.0,0.0,492387732.0,81260736.0,7427284.0,134658072.0,459165743.0,40730301359.0,67165239.0,4.0,64874778.0,228961515.0,2791211123.0,11594101.0,,2202334583.0,556639553.0,13652004358.0,348030664.0,,5392950.0,0.0,,10472821.0,1376173841.0,24484684.0,7326980728.0,24364980.0,9798566.0,37706129.0,,3923475.0,,135714855.0,25722549.0,,393919495.0,376954102.0,,5.0,216206840.0,493194345.0,5888429287.0,177515579.0,265921787.0,337219783.0
2021-01-02,57325197.0,221843920.0,1408849504.0,417148719.0,3435.0,0.0,599846982.0,50081958.0,8697336.0,146201509.0,521965394.0,67865420765.0,60064866.0,125.0,60722245.0,3421562680.0,3049232407.0,11785685.0,,2647911577.0,715306867.0,19740771179.0,243646888.0,,4987636.0,0.0,,17014977.0,1562557417.0,18851722.0,10532067985.0,16686545.0,17374970.0,14795813.0,,5491259.0,,109181697.0,31671064.0,,368692971.0,324942397.0,,19.0,278974618.0,463295709.0,4773658725.0,233029593.0,317638846.0,201193294.0
2021-01-03,78903254.0,298884107.0,2303857909.0,263098398.0,2542.0,0.0,525732596.0,36997985.0,6473190.0,186119340.0,758008613.0,78665235202.0,65270057.0,94.0,68729992.0,2707003608.0,3032883074.0,12845689.0,,4016977942.0,1377349497.0,45200463368.0,272432560.0,,11764052.0,0.0,,26169663.0,2298964833.0,73010484.0,15385661271.0,30341187.0,17908526.0,39055507.0,,6793636.0,,155007357.0,55073422.0,,410863381.0,216740061.0,,19.0,697803740.0,694141229.0,5109898871.0,312112832.0,629625452.0,296839779.0
2021-01-04,74099782.0,619262373.0,3260699086.0,257108478.0,3626.0,0.0,627610837.0,39414734.0,6735382.0,204575656.0,807877171.0,81163475344.0,50362870.0,39.0,95367065.0,1372398979.0,2893262630.0,18245669.0,,4592899152.0,1821321887.0,56945985763.0,312309245.0,,14408852.0,0.0,,21153165.0,2926793268.0,485416755.0,13659785704.0,38456062.0,44212481.0,37590382.0,,7083381.0,,286413933.0,59955405.0,,561466318.0,218310002.0,,10.0,550104075.0,1650893150.0,6141918380.0,376283723.0,647615112.0,229252261.0
2021-01-05,89986368.0,573305329.0,4097207384.0,423192879.0,14762.0,0.0,609572486.0,69735075.0,5470508.0,204421749.0,644270927.0,67547324782.0,57970278.0,1.0,82062825.0,687256067.0,2080742171.0,14535887.0,,3834551808.0,1291674762.0,41535932781.0,213135095.0,,12894239.0,0.0,,20423917.0,2435517090.0,1101698245.0,10192818976.0,41774563.0,58583192.0,38167272.0,,10831507.0,,340470731.0,50555207.0,,544009391.0,229124513.0,,10.0,584473737.0,2558465429.0,5378491929.0,370590662.0,448429425.0,182885012.0
2021-01-06,125911564.0,392901334.0,6170988900.0,374099920.0,14135.0,0.0,773764043.0,77632627.0,8111880.0,255185517.0,641021601.0,75289433811.0,61816662.0,,98254303.0,749915516.0,2382484175.0,23049461.0,,5868486395.0,1676433214.0,44699914188.0,201738931.0,,13152434.0,0.0,,20633216.0,3654880010.0,542158043.0,10743884477.0,37278883.0,153415534.0,29512733.0,,13596102.0,,230451734.0,50263975.0,,415723844.0,175126465.0,,81.0,693778828.0,10408578427.0,7552726810.0,460356341.0,417693290.0,295451068.0
2021-01-07,117149006.0,467716121.0,5149188552.0,295341182.0,1604.0,0.0,649595017.0,53715138.0,13050516.0,307851290.0,829964770.0,84762141031.0,60144169.0,8.0,78180776.0,520644706.0,2521342761.0,29523211.0,,6580130497.0,1770317764.0,40468027280.0,225642789.0,,19672456.0,0.0,,24073326.0,2848054681.0,212041630.0,13099581396.0,162450888.0,105163771.0,26547488.0,,10414813.0,,197336235.0,159870278.0,,407953286.0,146355215.0,,89.0,483671516.0,6253336842.0,15955049240.0,455057319.0,1682978095.0,255386046.0
2021-01-08,98153438.0,501393572.0,4560690774.0,248294641.0,4193.0,0.0,638646886.0,100707264.0,8001181.0,247515012.0,650561500.0,88107519480.0,46139585.0,10.0,74108158.0,394462164.0,2350202788.0,362853159.0,,5089074482.0,1650346807.0,44334826666.0,154943100.0,,17590919.0,0.0,,20040504.0,2749568572.0,122138866.0,14705614969.0,250069982.0,61246036.0,29827524.0,,13302777.0,,226852843.0,206412154.0,,507317045.0,123790927.0,,92.0,460533295.0,3650270362.0,9825829516.0,415712695.0,1502839943.0,149837546.0
2021-01-09,70724250.0,337620868.0,3655608662.0,204728849.0,4473.0,0.0,687660265.0,162227415.0,6356061.0,293731866.0,590039660.0,61984162837.0,44438976.0,1.0,80899594.0,485842353.0,1478813230.0,66173532.0,,6671849037.0,2051312079.0,33233105361.0,149399606.0,,12935963.0,0.0,,11115847.0,2622916177.0,209593060.0,11136779198.0,58033274.0,79019168.0,77594410.0,,8255178.0,,204122385.0,91906875.0,,547770211.0,138459786.0,,25.0,364957889.0,2262748352.0,7184429145.0,359421765.0,1156340659.0,122558322.0
2021-01-10,89053579.0,512402603.0,3732911206.0,257910313.0,254.0,0.0,779660148.0,96243972.0,6518361.0,295451975.0,701488832.0,79980747690.0,49584660.0,63.0,95305224.0,458583519.0,1603968712.0,35120309.0,,9057323705.0,3946510254.0,40616938053.0,452076685.0,,15398676.0,0.0,,13366041.0,3058197027.0,99900562.0,12774461582.0,55973170.0,52646300.0,49923204.0,,7576116.0,,322307964.0,62766977.0,,387543123.0,120114659.0,,100.0,432735973.0,1949483668.0,9647740012.0,600574982.0,828226065.0,158259935.0
