coin,ann_ret,ann_vol,sharpe,cf_beta,fp_beta
LRC,0.3366543132711456,1.0521929482631847,0.3199549225518458,0.3176269239965326,1.2702452561146418
APE,0.3646379412776292,1.78743374753011,0.20400081501285783,0.3249299295214897,1.4321092900995553
DOT,0.1472076716162621,0.8204244254885317,0.17942867989163722,0.32831644883299654,1.1374887839777827
AAVE,0.4844347327941478,0.9014846786793301,0.5373743384123199,0.32839008265610964,1.179486035263328
LINK,0.36889322656741,0.840408838701799,0.43894496295070956,0.33114544064563317,1.1691449609833369
EOS,-0.01542230465804532,0.8535933713018445,-0.01806750752354629,0.3319320402102384,1.146537546056174
VET,0.31091854661797697,0.8736972200640286,0.35586532665766224,0.33306893950399385,1.2173460199258483
ADA,0.40836152924064417,0.8068274640092322,0.5061324105298075,0.3369679961587516,1.1431542303921314
CRV,0.5177653471620413,1.0755819281129266,0.4813815978392679,0.3369797888297768,1.2558025025001227
XLM,0.34327692496139817,0.8018851100976911,0.4280874163127656,0.33984271717613296,1.1098196193582164
SAND,0.6443406525176647,1.0781528199685062,0.597633879524135,0.3403902997096584,1.3112405986705846
ENJ,0.27298266173708563,0.9979381187858911,0.2735466825029202,0.3409289615094238,1.2631824423405906
MATIC,0.7730331211734752,0.9702139321062622,0.7967656365182036,0.3410674153093328,1.1774700128487838
FTM,1.1207100213323287,1.1262889946007528,0.9950465881357549,0.3418241044133637,1.2292770389067142
XRP,0.5988763464183496,0.8308864956355223,0.7207679382973791,0.3434547075877899,1.1300892340424304
SUSHI,0.22579020303670824,1.0469060450878909,0.21567379813701668,0.3435165295809395,1.3051032754858611
AVAX,0.6288602628760016,0.9749465835482167,0.6450202231463082,0.34421699438097064,1.2387644471398864
INJ,0.560776986040301,1.0393188568861427,0.5395620240360308,0.3459838739863959,1.2130088864078414
LTC,0.19928143786328975,0.7147298327993783,0.2788206518297484,0.34865587425733074,1.0348879704654383
ETC,0.47186533717878615,0.868844456875326,0.5430952956479482,0.349589292915181,1.2160612521966305
UNI,0.4578982429054154,1.9743595722381702,0.2319224164351854,0.351274826538407,1.9386414305930388
DOGE,0.7209028142378205,1.026224929650234,0.7024803173350352,0.3534473864510984,1.2984453438217518
YFI,0.09636125521152894,0.8317666079307512,0.1158513148913902,0.35404535862566955,1.1371433632210752
AXS,0.5821980613963926,1.07261012521263,0.5427862815307472,0.3551225187175989,1.2852349452057656
ETH,0.4139900395756018,0.6542636719222286,0.6327571854315216,0.35774030984576427,1.0917310953131165
SNX,0.08703348658790247,1.0310474314672031,0.08441268939883,0.35776207344122785,1.2679000507586478
CHZ,0.5246394982594118,0.9956648136857066,0.5269238111542028,0.3578669252017341,1.2104627116381421
TIA,0.5415479801704822,1.977718990997471,0.2738245335336292,0.3585181950752526,1.069969758333676
FLOW,-0.18225456743252694,0.8941136236170147,-0.20383826240700922,0.359405813049901,1.1957881810396183
1INCH,0.11981886638894465,0.8927385591955599,0.1342149559406424,0.36120972223329934,1.1736252728219247
THETA,0.15515906108464675,0.9113954519732137,0.1702434006541509,0.36155819718811266,1.2160511418049331
MANA,0.4729818311857353,1.0022540124404318,0.4719181218681792,0.36632685001844995,1.254069653875177
BNB,0.6381580748840636,0.6750479886403911,0.9453521610654272,0.3677034141537193,0.9483707053903541
GRT,0.25816770270883077,0.6795283407007512,0.3799219064838415,0.3681873311623686,0.7245618017267902
ZIL,-0.03281586741485211,0.9075096964604213,-0.03616034907708921,0.3698354790231043,1.1946353328439394
BAT,0.37470895461029596,0.8642852586787418,0.43354777933286115,0.370926758922002,1.1319466506543907
BTC,0.27275757150317104,0.48517439056057243,0.5621846016811107,0.374125752429328,0.9555631874444671
SUI,-0.04299794308272743,1.2330056251229145,-0.034872463033930684,0.3752025000444752,0.8848025462999937
ALGO,0.21541236748376485,0.871968840718701,0.24704135907679453,0.37678513723817053,1.1312519419828138
FIL,0.025780659682930106,0.9407422884052472,0.02740459316082586,0.38442283026711155,1.1861357500810528
COMP,0.0,1.0824843781247036,0.0,0.4000000000000001,0.8627899594720058
OP,0.11385028987854126,0.7876642544326664,0.14454164859943353,0.40243422311764093,0.983403715404258
SEI,0.17147390361250575,0.6790360040502029,0.2525254958348692,0.4047231052409304,0.6943984378387517
ENS,0.16571046627230535,0.8883198391386341,0.1865436962805961,0.41565329025335956,1.0618417072434472
SOL,1.034750070081636,0.9451217351052837,1.0948325825628886,0.4206156371441056,1.1177611689074385
XTZ,0.16927392494632582,0.8471916967654012,0.19980593010131928,0.4509996911573853,1.1084945582994747
ARB,0.29551700562418187,1.4939537442559645,0.1978086716274864,0.45374959573818635,1.670571544164006
IMX,-0.36836897212739783,0.9693815311459199,-0.3800041163275966,0.5399386817583294,0.7720940111273991
ATOM,0.25112308097670083,0.877146802121206,0.2862953845005298,0.5628026363561938,1.061336037873996
NEAR,0.5328953716570421,1.0102130045970175,0.5275079307354775,0.5763985300642462,1.0821809802589843
