Coin,CF_Beta,FP_Beta,Ann_Return,Volatility,Sharpe,Total_Return,MDD,Mkt_Corr
AAVE,0.326,1.101,48.44%,90.15%,0.54,80.4%,-92.2%,0.722
LRC,0.328,1.200,33.67%,105.22%,0.32,-74.1%,-98.6%,0.668
CRV,0.334,1.181,51.78%,107.56%,0.48,-32.8%,-96.8%,0.674
SUSHI,0.340,1.232,22.58%,104.69%,0.22,-90.0%,-98.8%,0.704
DOT,0.340,1.081,14.72%,82.04%,0.18,-74.4%,-96.9%,0.789
TIA,0.342,1.021,54.15%,197.77%,0.27,-100.0%,-100.0%,0.118
ADA,0.343,1.088,40.84%,80.68%,0.51,94.4%,-91.9%,0.768
ENJ,0.349,1.188,27.30%,99.79%,0.27,-78.6%,-99.4%,0.703
MATIC,0.350,1.110,77.30%,97.02%,0.80,1011.6%,-92.8%,0.663
XRP,0.351,1.063,59.89%,83.09%,0.72,608.0%,-83.2%,0.711
VET,0.351,1.140,31.09%,87.37%,0.36,-38.6%,-96.2%,0.787
EOS,0.352,1.076,-1.54%,85.36%,-0.02,-93.7%,-99.0%,0.747
FTM,0.352,1.153,112.07%,112.63%,1.00,3911.3%,-94.9%,0.604
AVAX,0.354,1.176,62.89%,97.49%,0.65,227.2%,-93.5%,0.701
SAND,0.355,1.249,64.43%,107.82%,0.60,93.4%,-98.9%,0.647
YFI,0.356,1.065,9.64%,83.18%,0.12,-83.2%,-96.2%,0.707
APE,0.357,1.365,36.46%,178.74%,0.20,-100.0%,-100.0%,0.279
ETC,0.357,1.130,47.19%,86.88%,0.54,120.3%,-91.5%,0.775
XLM,0.358,1.050,34.33%,80.19%,0.43,33.1%,-90.3%,0.716
LTC,0.359,0.977,19.93%,71.47%,0.28,-35.0%,-88.8%,0.793
INJ,0.361,1.132,56.08%,103.93%,0.54,20.9%,-94.7%,0.640
AXS,0.364,1.222,58.22%,107.26%,0.54,30.5%,-99.5%,0.649
CHZ,0.364,1.138,52.46%,99.57%,0.53,41.2%,-96.4%,0.659
GRT,0.367,0.676,25.82%,67.95%,0.38,9.8%,-93.3%,0.383
SNX,0.368,1.194,8.70%,103.10%,0.08,-95.6%,-98.9%,0.682
FLOW,0.370,1.130,-18.23%,89.41%,-0.20,-98.5%,-99.8%,0.672
BAT,0.373,1.069,37.47%,86.43%,0.43,7.8%,-93.6%,0.735
UNI,0.374,1.705,45.79%,197.44%,0.23,-100.0%,-100.0%,0.175
MANA,0.376,1.190,47.30%,100.23%,0.47,-5.6%,-97.9%,0.701
ETH,0.377,1.007,41.40%,65.43%,0.63,328.0%,-79.4%,0.898
BNB,0.378,0.892,63.82%,67.50%,0.95,1948.2%,-70.8%,0.706
LINK,0.378,1.098,36.89%,84.04%,0.44,11.4%,-90.2%,0.790
BTC,0.385,0.866,27.28%,48.52%,0.56,208.4%,-76.6%,0.900
1INCH,0.385,1.104,11.98%,89.27%,0.13,-86.4%,-98.1%,0.696
DOGE,0.388,1.214,72.09%,102.62%,0.70,397.2%,-92.3%,0.664
ENS,0.390,1.005,16.57%,88.83%,0.19,-79.3%,-91.1%,0.530
THETA,0.391,1.143,15.52%,91.14%,0.17,-85.3%,-98.2%,0.733
SUI,0.392,0.842,-4.30%,123.30%,-0.03,-99.8%,-99.9%,0.080
ZIL,0.400,1.130,-3.28%,90.75%,-0.04,-95.8%,-98.8%,0.741
COMP,0.400,0.789,0.00%,108.25%,0.00,-99.2%,-99.6%,0.046
SEI,0.407,0.793,17.15%,67.90%,0.25,-31.6%,-89.8%,0.355
OP,0.408,0.942,11.39%,78.77%,0.14,-74.4%,-94.6%,0.486
FIL,0.417,1.126,2.58%,94.07%,0.03,-94.6%,-99.5%,0.661
ARB,0.436,1.512,29.55%,149.40%,0.20,-99.8%,-100.0%,0.278
SOL,0.444,1.059,103.48%,94.51%,1.09,7136.3%,-96.3%,0.680
ALGO,0.462,1.084,21.54%,87.20%,0.25,-68.3%,-96.3%,0.733
XTZ,0.501,1.053,16.93%,84.72%,0.20,-73.5%,-95.1%,0.723
IMX,0.530,0.724,-36.84%,96.94%,-0.38,-99.8%,-99.8%,0.277
NEAR,0.600,1.035,53.29%,101.02%,0.53,26.0%,-95.1%,0.660
ATOM,0.655,1.016,25.11%,87.71%,0.29,-61.9%,-95.8%,0.693
